file,treatment,fly,orientation,n_turns,turn_bias,switchiness,clumpiness,distance_mm,walking_speed_mm_s,fraction_walking,tortuosity
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,0,inverse,332,0.6314199395770392,0.8789004841734467,0.8489290277558915,14995.398893892432,4.327186535679827,0.3930094820199433,3.8948369913696967
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,1,inverse,539,0.654275092936803,0.89734853035673,0.78526367769333,21201.33993346177,4.855256271099633,0.5318352719492115,3.5253626800412756
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,2,inverse,740,0.557510148849797,0.7140537406235081,1.3135732147803518,27452.792115020053,5.38403609671698,0.6586241802737556,3.2700854225785947
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,3,inverse,558,0.6786355475763016,0.8205666246465452,0.5530406989415485,21877.618229549575,4.781286714984695,0.5511001080930298,3.518384565807449
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,4,upright,529,0.5151515151515151,0.8356819957584553,0.5694853550056612,22311.973735099364,5.0301973145403736,0.5290008208603315,3.689266423508868
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,5,upright,453,0.3230088495575221,0.91257497440552,0.5145409663079268,17814.58764974637,4.8949647993157495,0.40653269862460256,3.5325840505597883
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,6,upright,897,0.31138392857142855,0.9170991364623872,0.4651702254542831,34372.12027358275,5.974642797345233,0.7623646193696434,3.2237187539435146
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,7,upright,769,0.34765625,0.7013550357059491,2.391353576821802,26803.89575041255,5.914727125229555,0.6243996157540826,3.0477797108354805
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,8,inverse,745,0.5040322580645161,0.9260359999562311,0.45753647032550676,29040.15686693695,5.521626669050228,0.6730637184601879,3.354513324142271
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,9,inverse,918,0.41657579062159217,0.8220100786889435,0.5456222119389473,35314.79613885368,6.069473792237842,0.7772893900171998,3.092206842978687
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,10,inverse,941,0.4542553191489362,0.8634574325499906,0.44627654371545916,36436.6288012079,6.097023082758971,0.7990239073233003,3.301790645694633
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,11,inverse,827,0.47578692493946734,0.9306673490542468,0.3729055672168922,30186.156516849514,5.496219487273367,0.712246372396264,3.2556876449397323
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,12,upright,1023,0.31702544031311153,0.827802448070515,0.3858082463349718,37628.80903852933,6.32510772328811,0.799867922560912,3.2181408027446836
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,13,upright,681,0.4823529411764706,0.8523135463982837,0.6998234052008083,27276.7449672797,5.558339248176553,0.6227829345883994,3.361002115252734
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,14,upright,980,0.5791624106230848,0.9606866070415286,0.42700834274132565,35235.26531823223,6.221869531159647,0.7516003896600911,3.1358324689926778
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,15,upright,1008,0.4816285998013903,1.1805201830059262,0.3550477301342715,36305.472450461675,6.126531557383885,0.7952257367797673,3.1110475820635073
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,16,inverse,903,0.4467849223946785,0.8576617850424495,0.7191461579058335,36070.35900721321,6.187982696323108,0.7844478923329034,3.2621066524097855
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,17,inverse,649,0.558641975308642,0.7585015938743727,1.1208149804561127,24795.959773843573,5.699352602004712,0.5468802548898133,3.166430412175445
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,18,inverse,965,0.5923236514522822,0.958967712410336,0.44674955484211143,34274.851414627185,6.237851549076234,0.7261920302152137,3.0019618931981924
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,19,inverse,1210,0.456575682382134,0.8741430549693855,0.3382086712874354,40649.3619814728,6.66599301122549,0.8231957822692018,2.9651559722417833
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,20,upright,761,0.5736842105263158,0.8026758148639105,0.4459650041549257,27230.546366148294,5.4577047627671496,0.6329795120930111,3.1444130696287123
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,21,upright,749,0.44786096256684493,0.8066293192477667,0.593803865894486,26089.200973547686,5.022549083255795,0.6535929523693571,3.063519742255341
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,22,upright,1054,0.3418803418803419,0.9886011801886326,0.4474767500377451,37872.2255276649,6.242141307976928,0.815898019260327,2.990829531255587
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,23,inverse,598,0.3869346733668342,0.9654771251962911,1.2092976803847584,24005.787200025872,4.956957260227929,0.6559371659617976,3.4390895144252536
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,24,inverse,693,0.38439306358381503,0.8745385201247345,1.9499288219760131,27670.840148907155,5.455072715171767,0.6646025089733111,3.4209958422238644
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,25,inverse,921,0.6217391304347826,0.9392493614474027,0.42359058994131826,35316.989401402054,6.056641726028133,0.7754131980048315,3.2786093373330374
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,26,upright,921,0.4923913043478261,1.0252646229835873,0.3866604413573183,35243.982856043775,6.04722514473028,0.7735242776624662,3.2200739385623547
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,27,upright,736,0.4326530612244898,0.7520638930735007,1.3834168882157905,26544.44852362732,5.432526676861959,0.6432328427185513,3.08693335054015
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,28,upright,695,0.5172910662824207,0.9564107497338279,1.3049941890622094,27181.85264477611,5.442018427178056,0.646547233283594,3.3419712067544154
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,29,inverse,1038,0.46769527483124396,0.7987008771914644,0.44419696678781817,38010.57832566847,6.597263021141234,0.7704543480149423,3.083604268527138
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,30,inverse,843,0.6104513064133017,0.9100444647968875,0.5003613570137935,32576.666218738002,5.62084096482203,0.7664837073577433,3.189707448929646
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,31,inverse,908,0.3065049614112459,0.9294883826774479,0.4726207344921252,32678.871189758313,5.936530741527442,0.7239072490026306,3.0490139795437425
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,32,upright,556,0.4828828828828829,0.8999717188782812,0.4769705299830352,21092.8313212398,4.938568598646931,0.5062222608998347,3.327562963940014
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,33,upright,596,0.761344537815126,1.0469824058031003,0.39377501455366326,25076.65955101318,4.867757185698845,0.6408990560953987,3.7106828905803066
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,34,upright,980,0.5832482124616956,0.9654125659428621,0.3644140787799705,36144.72073547763,5.897815976948016,0.8262826751946607,3.1438107800613415
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,35,inverse,744,0.21534320323014805,0.9331920849264655,0.47348119414142104,30245.53879932998,5.5894667322765965,0.7078308535630383,3.5966565386100258
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,36,inverse,731,0.48904109589041095,0.9524465721739588,0.3450543156259251,30527.32019366948,5.2458481512738215,0.7653904947192884,3.6899370172952457
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,37,inverse,852,0.535840188014101,0.8514335541011875,0.4163017817387716,31151.908296447284,5.9245240063688085,0.6791183738818698,3.1331081509048424
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,38,upright,652,0.5791090629800307,0.9972723874317322,0.5225370201704741,27190.89107682295,5.258887130590978,0.6563343021737995,3.5584602882374354
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,39,upright,865,0.42592592592592593,1.0094081281416631,0.5462124290988255,32558.154279100803,5.853581073368311,0.7305975409194142,3.2503181727282247
NNYM_07-03-2025-11-29-37__Y-Maze_cs-p_female_dosed_1-50_Day1.hdf5,0.5uM,40,upright,754,0.43293492695883135,0.9560296167256707,0.5004609774047267,30201.168326227118,5.5277750919002955,0.7102491004224103,3.44646469102768
